"Media ID","Title","Sort title","Studio","Content Rating","Year","Rating","Summary","Genres","View Count","Last Viewed at","Tagline","Release Date","Writers","Country","Duration","Directors","Roles"
"1","2012","2012","Columbia Pictures","PG-13","2009","4.0","Dr. Adrian Helmsley, part of a worldwide
geophysical team investigating the
effect on the earth of radiation from
unprecedented solar storms, learns that
the earth's core is heating up. He warns
U.S. President Thomas Wilson that the
crust of the earth is becoming unstable
and that without proper preparations for
saving a fraction of the world's
population, the entire race is doomed.
Meanwhile, writer Jackson Curtis
stumbles on the same information. While
the world's leaders race to build ""arks""
to escape the impending cataclysm,
Curtis struggles to find a way to save
his family. Meanwhile, volcanic
eruptions and earthquakes of
unprecedented strength wreak havoc
around the world.","Sci-Fi - Action","N/A","N/A","We Were Warned.","2009-10-10","Roland Emmerich - Harald Kloser","US","2:37:49","Roland Emmerich","John Cusack - Amanda Peet - Chiwetel
Ejiofor"
"3970","A.I. Artificial Intelligence","A.I. Artificial Intelligence","DreamWorks SKG","TV-14","2001","7.3","A robotic boy, the first programmed to
love, David is adopted as a test case by
a Cybertronics employee and his wife.
Though he gradually becomes their child,
a series of unexpected circumstances
make this life impossible for David.
Without final acceptance by humans or
machines, David embarks on a journey to
discover where he truly belongs,
uncovering a world in which the line
between robot and machine is both vast
and profoundly thin.","Sci-Fi - Drama","N/A","N/A","David is 11 years old. He weighs 60
pounds. He is 4 feet, 6 inches tall. He
has brown hair. His love is real. But he
is not.","2001-06-29","Steven Spielberg","US","2:25:51","Steven Spielberg","Haley Joel Osment - Frances O'Connor -
Sam Robards"
"3","Akira","Akira","Bandai Visual Company","TV-MA","1988","8.7","Childhood friends Tetsuo and Kaneda are
pulled into the post-apocalyptic
underworld of Neo-Tokyo and forced to
fight for their very survival. Kaneda is
a bike gang leader, and Tetsuo is a
member of a tough motorcycle crew who
becomes involved in a covert government
project called Akira. But a bloody
battle ensues when Kaneda sets out to
save his friend.","Sci-Fi - Drama","N/A","N/A","Neo-Tokyo is about to E.X.P.L.O.D.E.","1988-07-16","Katsuhiro Ōtomo - Izo Hashimoto","JP","2:10:12","Katsuhiro Ōtomo","Mitsuo Iwata - Nozomu Sasaki - Mami
Koyama"
"4","Aladdin","Aladdin","Walt Disney Pictures","G","1992","9.4","Princess Jasmine grows tired of being
forced to remain in the palace and she
sneaks out into the marketplace  in
disguise where she meets street-urchin
Aladdin and the two fall in love,
although she may only marry a prince.
After being thrown in jail, Aladdin and
becomes embroiled in a plot to find a
mysterious lamp with which the evil
Jafar hopes to rule the land.","Adventure - Family","N/A","N/A","Wish granted!","1992-11-25","Ron Clements - John Musker","USA","1:30:39","Ron Clements - John Musker","Scott Weinger - Robin Williams - Linda
Larkin"
"3986","Ali","Ali","Columbia Pictures Corporation","R","2001","6.7","In 1964, a brash new pro boxer, fresh
from his olympic gold medal victory,
explodes on to the scene; Cassius Clay.
Bold and outspoken, he cuts an entirely
new image for African Americans in sport
with his proud public self confidence
and his unapologetic belief that he is
the greatest boxer of all time. Yet at
the top of his game, both Ali's personal
and professional lives face the ultimate
test.","Biography - Sport","N/A","N/A","Float like a butterfly and sting like a
bee.","2001-12-11","Stephen J. Rivele - Christopher
Wilkinson","US","2:36:32","Michael Mann","Will Smith - Jamie Foxx - Jon Voight"
"6","Alien","Alien","Twentieth Century Fox Film Corporation","R","1979","9.7","During its return to the earth,
commercial spaceship Nostromo intercepts
a distress signal from a distant planet.
When a three-member team of the crew
discovers a chamber containing thousands
of eggs on the planet, a creature inside
one of the eggs attacks an explorer. The
entire crew is unaware of the impending
nightmare set to descend upon them when
the alien parasite planted inside its
unfortunate host is birthed.","Sci-Fi - Horror","N/A","N/A","In space no one can hear you scream.","1979-05-25","Dan O'Bannon - Ronald Shusett","US","1:56:37","Ridley Scott","Tom Skerritt - Sigourney Weaver -
Veronica Cartwright"
"7","Alien: Covenant","Alien: Covenant","Twentieth Century Fox Film Corporation","R","2017","6.8","Bound for a remote planet on the far
side of the galaxy, the crew of the
colony ship 'Covenant' discovers what is
thought to be an uncharted paradise, but
is actually a dark, dangerous world –
which has its sole inhabitant the
'synthetic', David, survivor of the
doomed Prometheus expedition.","Sci-Fi - Horror","N/A","N/A","The path to paradise begins in hell.","2017-05-09","John Logan - Dante Harper","US","2:02:18","Ridley Scott","Michael Fassbender - Katherine Waterston
- Billy Crudup"
"8","Alien: Resurrection","Alien: Resurrection","Twentieth Century Fox Film Corporation","R","1997","5.4","Two hundred years after Lt. Ripley died,
a group of scientists clone her, hoping
to breed the ultimate weapon. But the
new Ripley is full of surprises … as are
the new aliens. Ripley must team with a
band of smugglers to keep the creatures
from reaching Earth.","Sci-Fi - Action","N/A","N/A","It's already too late.","1997-11-12","Joss Whedon","US","1:56:08","Jean-Pierre Jeunet","Sigourney Weaver - Winona Ryder - Brad
Dourif"
"9","Aliens","Aliens","Twentieth Century Fox Film Corporation","R","1986","9.8","When Ripley's lifepod is found by a
salvage crew over 50 years later, she
finds that terra-formers are on the very
planet they found the alien species.
When the company sends a family of
colonists out to investigate her story,
all contact is lost with the planet and
colonists. They enlist Ripley and the
colonial marines to return and search
for answers.","Sci-Fi - Action","N/A","N/A","This Time It's War","1986-07-18","James Cameron","US","2:34:26","James Cameron","Sigourney Weaver - Michael Biehn - Paul
Reiser"
"10","Aliens vs Predator: Requiem","Aliens vs Predator: Requiem","Twentieth Century Fox Film Corporation","R","2007","1.1","A sequel to 2004's Alien vs. Predator,
the iconic creatures from two of the
scariest film franchises in movie
history wage their most brutal battle
ever - in our own backyard. The small
town of Gunnison, Colorado becomes a war
zone between two of the deadliest extra-
terrestrial life forms - the Alien and
the Predator. When a Predator scout ship
crash-lands in the hills outside the
town, Alien Facehuggers and a hybrid
Alien/Predator are released and begin to
terrorize the town.","Sci-Fi - Action","N/A","N/A","The Last Place On Earth We Want To Be Is
In The Middle","2007-12-25","Shane Salerno","US","1:41:05","Colin Strause - Greg Strause","Steven Pasquale - Reiko Aylesworth -
John Ortiz"
